,molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,MW,HeavyAtomMolWt,LogP,MolMR,NumHDonors,NumHAcceptors,NumAtoms,AR,TPSA,RB,bioactivity_class
4338,CHEMBL3963829,Cc1ccc(OC(c2ccc(Cl)c(Cl)c2)C2CNC2)cc1,IC50,168.0,nM,322.23500000000007,305.09900000000005,4.641320000000004,87.36970000000004,1.0,2.0,21.0,2.0,21.259999999999998,4.0,inactive
4339,CHEMBL3703746,Clc1ccc(C2CNCc3cc(-c4ccc5ncnn5c4)ccc32)cc1Cl,IC50,30.8,nM,395.293,379.1650000000001,4.938200000000002,108.4347,1.0,4.0,27.0,4.0,42.22,2.0,active
4340,CHEMBL3703746,Clc1ccc(C2CNCc3cc(-c4ccc5ncnn5c4)ccc32)cc1Cl,IC50,104.6,nM,395.293,379.1650000000001,4.938200000000002,108.4347,1.0,4.0,27.0,4.0,42.22,2.0,inactive
4341,CHEMBL3940791,CCC(NC(CC(C)C)C1(c2ccc(Cl)cc2)CCC1)C(=O)O,IC50,56.9,nM,337.8910000000002,309.66700000000003,4.6292000000000035,95.07450000000007,2.0,2.0,23.0,1.0,49.33,8.0,active
4342,CHEMBL3916301,CCC(NC(CC(C)C)C1(c2ccc(Cl)cc2)CCC1)C(=O)OCC(C)C,IC50,370.0,nM,393.9990000000003,357.7110000000001,5.743800000000006,113.23570000000007,1.0,3.0,27.0,1.0,38.33,10.0,inactive
4343,CHEMBL3940167,CCCN1CCC2c3cc(O)ccc3CCC21,IC50,1610.0,nM,231.33899999999997,210.17099999999996,2.9063000000000017,69.43780000000005,1.0,2.0,17.0,1.0,23.47,2.0,inactive
4344,CHEMBL3917604,CC(N)CCc1ccccc1Cl,IC50,8523.0,nM,183.682,169.56999999999996,2.6198000000000015,53.42240000000003,1.0,1.0,12.0,1.0,26.02,3.0,inactive
4345,CHEMBL279556,c1ccc2sc(C3(N4CCCCC4)CCCCC3)cc2c1,IC50,12.0,nM,299.48299999999995,274.28299999999996,5.546600000000005,92.01200000000004,0.0,2.0,21.0,2.0,3.24,2.0,active
4346,CHEMBL4092998,c1ccc(CC2CCN(CCn3nnnc3C(c3ccccc3)c3ccccc3)CC2)cc1,IC50,310.0,nM,437.5910000000002,406.3430000000003,4.808000000000004,130.956,0.0,5.0,33.0,4.0,46.84,8.0,inactive
4347,CHEMBL4073939,c1ccc(CC2CCN(CCCn3nnnc3C(c3ccccc3)c3ccccc3)CC2)cc1,IC50,94.0,nM,451.61800000000017,418.3540000000003,5.1981000000000055,135.57299999999992,0.0,5.0,34.0,4.0,46.84,9.0,active
4348,CHEMBL4100713,c1ccc(CC2CCN(CCCCn3nnnc3C(c3ccccc3)c3ccccc3)CC2)cc1,IC50,590.0,nM,465.64500000000015,430.36500000000035,5.588200000000006,140.18999999999986,0.0,5.0,35.0,4.0,46.84,10.0,inactive
4349,CHEMBL4095430,c1ccc(CN2CCN(CCn3nnnc3C(c3ccccc3)c3ccccc3)CC2)cc1,IC50,2289.0,nM,438.5790000000002,408.3390000000003,3.6711000000000027,129.805,0.0,6.0,33.0,4.0,50.08,8.0,inactive
4350,CHEMBL4074999,c1ccc(CN2CCN(CCCn3nnnc3C(c3ccccc3)c3ccccc3)CC2)cc1,IC50,292.3,nM,452.60600000000017,420.3500000000003,4.061200000000003,134.42199999999994,0.0,6.0,34.0,4.0,50.08,9.0,inactive
4351,CHEMBL4103183,c1ccc(CN2CCN(CCCCn3nnnc3C(c3ccccc3)c3ccccc3)CC2)cc1,IC50,317.0,nM,466.63300000000015,432.36100000000033,4.451300000000004,139.03899999999987,0.0,6.0,35.0,4.0,50.08,10.0,inactive
4352,CHEMBL4085259,c1ccc(CCN2CCN(CCn3nnnc3C(c3ccccc3)c3ccccc3)CC2)cc1,IC50,679.8,nM,452.60600000000017,420.3500000000003,3.7136000000000022,134.67199999999994,0.0,6.0,34.0,4.0,50.08,9.0,inactive
4353,CHEMBL4099773,c1ccc(CCN2CCN(CCCn3nnnc3C(c3ccccc3)c3ccccc3)CC2)cc1,IC50,1115.0,nM,466.63300000000015,432.36100000000033,4.1037000000000035,139.28899999999987,0.0,6.0,35.0,4.0,50.08,10.0,inactive
