,molecule_chembl_id,smiles,standard_type,standard_value,standard_units,MW,LogP,NumHDonors,NumHAcceptors,AR,RB,bioactivity_class,bioactivity_class_encoded
5364,CHEMBL3329242,Clc1ccc(CN(CC2CNC2)c2ccc3ccccc3c2)cc1.O=C(O)C(F)(F)F,Inhibition,117.0,%,450.8880000000001,5.352500000000004,2.0,3.0,3.0,5.0,inactive,1
5365,CHEMBL3331494,Cc1cccc(CN(CC2CNC2)c2ccc3ccccc3c2)c1.O=C(O)C(F)(F)F,Inhibition,124.0,%,430.4700000000001,5.007520000000004,2.0,3.0,3.0,5.0,inactive,1
5366,CHEMBL3331495,O=C(O)C(F)(F)F.c1ccc(Oc2ccc(N(Cc3ccc4ccccc4c3)CC3CNC3)cc2)cc1,Inhibition,105.0,%,508.5400000000003,6.491400000000007,2.0,4.0,4.0,7.0,inactive,1
5367,CHEMBL3331496,Clc1ccc(CN(CC2CNC2)c2ccc(Oc3ccccc3)cc2)cc1.O=C(O)C(F)(F)F,Inhibition,104.0,%,492.9250000000001,5.991600000000004,2.0,4.0,3.0,7.0,inactive,1
5368,CHEMBL3331497,O=C(O)C(F)(F)F.c1ccc(CN(CC2CNC2)c2ccc(Oc3ccccc3)cc2)cc1,Inhibition,111.0,%,458.4800000000002,5.338200000000004,2.0,4.0,3.0,7.0,inactive,1
5369,CHEMBL3331498,Clc1ccc(CN(CC2CNC2)C2CCCC2)cc1Cl,Inhibition,130.0,%,313.27199999999993,3.9574000000000025,1.0,2.0,1.0,5.0,inactive,1
5370,CHEMBL3331499,Clc1ccc(CN(CC2CNC2)C2CCCCC2)cc1Cl,Inhibition,116.0,%,327.299,4.347500000000003,1.0,2.0,1.0,5.0,inactive,1
5371,CHEMBL3331500,Fc1ccc(CN(CC2CNC2)c2ccccc2)cc1.O=C(O)C(F)(F)F,Inhibition,122.0,%,384.3730000000001,3.6850000000000014,2.0,3.0,2.0,5.0,inactive,1
5372,CHEMBL3331501,Cc1cccc(CN(CC2CNC2)c2ccccc2)c1.O=C(O)C(F)(F)F,Inhibition,122.0,%,380.4100000000001,3.854320000000002,2.0,3.0,2.0,5.0,inactive,1
5373,CHEMBL3331502,Clc1cccc(CN(CC2CNC2)c2ccccc2)c1Cl.O=C(O)C(F)(F)F,Inhibition,136.0,%,435.273,4.852700000000003,2.0,3.0,2.0,5.0,inactive,1
5374,CHEMBL3331503,CC(C)N(Cc1ccc(Cl)c(Cl)c1)CC1CNC1.Cl,Inhibition,122.0,%,323.695,3.845000000000003,1.0,2.0,1.0,5.0,inactive,1
5375,CHEMBL3186763,CN1CCN(C)/C(=N/c2ccc([N+](=O)[O-])cc2C(=O)Nc2ccccc2)C1,Inhibition,110.8,%,367.4090000000001,2.7543000000000006,1.0,5.0,2.0,4.0,inactive,1
5376,CHEMBL3401350,CC(C)[C@]1(C)CC(=O)N(Cc2cc(F)cc(C(=O)N[C@@H](C)c3ccccc3)c2)C(=N)N1,Inhibition,151.0,%,424.52,3.988070000000002,3.0,3.0,2.0,6.0,inactive,1
5377,CHEMBL3304438,COc1ccc(C(=O)NCc2cc(C(C)C)no2)cc1OC1CCN(C)CC1,Inhibition,120.30662530715284,%,387.48000000000025,3.209600000000002,1.0,6.0,2.0,7.0,inactive,1
